filename,filepath,filesize
00-00_GA_noordpijl_3D.rfa,families\00-00_GA_noordpijl_3D.rfa,450560
00-11_TAG-GA_element nummer.rfa,families\00-11_TAG-GA_element nummer.rfa,364544
00-11_TAG-GA_legenda.rfa,families\00-11_TAG-GA_legenda.rfa,356352
00-11_TAG-GA_mark.rfa,families\00-11_TAG-GA_mark.rfa,360448
00-11_TAG-GA_objectcode.rfa,families\00-11_TAG-GA_objectcode.rfa,360448
00-11_TAG-GA_wijzigingspijl.rfa,families\00-11_TAG-GA_wijzigingspijl.rfa,405504
00-11_TAG-SF_damwanden tekst.rfa,families\00-11_TAG-SF_damwanden tekst.rfa,360448
00-11_TAG-SF_damwanden.rfa,families\00-11_TAG-SF_damwanden.rfa,360448
00-12_DI_boring.rfa,families\00-12_DI_boring.rfa,376832
00-12_DI_maaiveld.rfa,families\00-12_DI_maaiveld.rfa,471040
00-12_DI_noordpijl_2D.rfa,families\00-12_DI_noordpijl_2D.rfa,360448
00-12_DI_sondering.rfa,families\00-12_DI_sondering.rfa,372736
00-12_DI_stortnaad 1_10.rfa,families\00-12_DI_stortnaad 1_10.rfa,364544
00-12_DI_stortnaad 1_100.rfa,families\00-12_DI_stortnaad 1_100.rfa,364544
00-12_DI_stortnaad 1_2.rfa,families\00-12_DI_stortnaad 1_2.rfa,364544
00-12_DI_stortnaad 1_20.rfa,families\00-12_DI_stortnaad 1_20.rfa,364544
00-12_DI_stortnaad 1_200.rfa,families\00-12_DI_stortnaad 1_200.rfa,364544
00-12_DI_stortnaad 1_5.rfa,families\00-12_DI_stortnaad 1_5.rfa,364544
00-12_DI_stortnaad 1_50.rfa,families\00-12_DI_stortnaad 1_50.rfa,364544
00-13_LAB-CH_head_callout.rfa,families\00-13_LAB-CH_head_callout.rfa,360448
00-13_LAB-EL_head_level.rfa,families\00-13_LAB-EL_head_level.rfa,360448
00-13_LAB-GD_head_grid.rfa,families\00-13_LAB-GD_head_grid.rfa,364544
00-13_LAB-SE_spot elevation.rfa,families\00-13_LAB-SE_spot elevation.rfa,368640
00-13_LAB-SM_head_section.rfa,families\00-13_LAB-SM_head_section.rfa,430080
00-13_LAB-VT_aanzicht.rfa,families\00-13_LAB-VT_aanzicht.rfa,364544
00-13_LAB-VT_detail.rfa,families\00-13_LAB-VT_detail.rfa,364544
00-13_LAB-VT_label_doorsnede.rfa,families\00-13_LAB-VT_label_doorsnede.rfa,364544
00-13_LAB-VT_label_naam.rfa,families\00-13_LAB-VT_label_naam.rfa,356352
00-13_LAB-VT_label_plattegrond.rfa,families\00-13_LAB-VT_label_plattegrond.rfa,360448
00-13_LAB-VT_label_tekst.rfa,families\00-13_LAB-VT_label_tekst.rfa,356352
00-14_GA_DuraVermeer_BasePoint.rfa,families\00-14_GA_DuraVermeer_BasePoint.rfa,995328
00-20_TB_kaders.rfa,families\00-20_TB_kaders.rfa,950272
00-20_TB_startview.rfa,families\00-20_TB_startview.rfa,1048576
00.00_GA_noordpijl_3D.rfa,families\00.00_GA_noordpijl_3D.rfa,458752
00.11_TAG-GA_element nummer.rfa,families\00.11_TAG-GA_element nummer.rfa,372736
00.11_TAG-GA_legenda.rfa,families\00.11_TAG-GA_legenda.rfa,364544
00.11_TAG-GA_mark.rfa,families\00.11_TAG-GA_mark.rfa,368640
00.11_TAG-GA_objectcode.rfa,families\00.11_TAG-GA_objectcode.rfa,368640
00.11_TAG-GA_wijzigingspijl.rfa,families\00.11_TAG-GA_wijzigingspijl.rfa,413696
00.11_TAG-SF_damwanden tekst.rfa,families\00.11_TAG-SF_damwanden tekst.rfa,368640
